date,realtime_start,realtime_end,value
1959-01-01,2024-05-31,2024-05-31,15.501
1959-02-01,2024-05-31,2024-05-31,15.513
1959-03-01,2024-05-31,2024-05-31,15.531
1959-04-01,2024-05-31,2024-05-31,15.57
1959-05-01,2024-05-31,2024-05-31,15.589
1959-06-01,2024-05-31,2024-05-31,15.635
1959-07-01,2024-05-31,2024-05-31,15.672
1959-08-01,2024-05-31,2024-05-31,15.697
1959-09-01,2024-05-31,2024-05-31,15.738
1959-10-01,2024-05-31,2024-05-31,15.765
1959-11-01,2024-05-31,2024-05-31,15.794
1959-12-01,2024-05-31,2024-05-31,15.818
1960-01-01,2024-05-31,2024-05-31,15.822
1960-02-01,2024-05-31,2024-05-31,15.852
1960-03-01,2024-05-31,2024-05-31,15.853
1960-04-01,2024-05-31,2024-05-31,15.882
1960-05-01,2024-05-31,2024-05-31,15.908
1960-06-01,2024-05-31,2024-05-31,15.917
1960-07-01,2024-05-31,2024-05-31,15.945
1960-08-01,2024-05-31,2024-05-31,15.968
1960-09-01,2024-05-31,2024-05-31,15.981
1960-10-01,2024-05-31,2024-05-31,15.99
1960-11-01,2024-05-31,2024-05-31,16.033
1960-12-01,2024-05-31,2024-05-31,16.028
1961-01-01,2024-05-31,2024-05-31,16.032
1961-02-01,2024-05-31,2024-05-31,16.048
1961-03-01,2024-05-31,2024-05-31,16.053
1961-04-01,2024-05-31,2024-05-31,16.075
1961-05-01,2024-05-31,2024-05-31,16.096
1961-06-01,2024-05-31,2024-05-31,16.12
1961-07-01,2024-05-31,2024-05-31,16.145
1961-08-01,2024-05-31,2024-05-31,16.162
1961-09-01,2024-05-31,2024-05-31,16.194
1961-10-01,2024-05-31,2024-05-31,16.199
1961-11-01,2024-05-31,2024-05-31,16.202
1961-12-01,2024-05-31,2024-05-31,16.216
1962-01-01,2024-05-31,2024-05-31,16.235
1962-02-01,2024-05-31,2024-05-31,16.262
1962-03-01,2024-05-31,2024-05-31,16.3
1962-04-01,2024-05-31,2024-05-31,16.303
1962-05-01,2024-05-31,2024-05-31,16.326
1962-06-01,2024-05-31,2024-05-31,16.356
1962-07-01,2024-05-31,2024-05-31,16.37
1962-08-01,2024-05-31,2024-05-31,16.372
1962-09-01,2024-05-31,2024-05-31,16.404
1962-10-01,2024-05-31,2024-05-31,16.403
1962-11-01,2024-05-31,2024-05-31,16.415
1962-12-01,2024-05-31,2024-05-31,16.42
1963-01-01,2024-05-31,2024-05-31,16.451
1963-02-01,2024-05-31,2024-05-31,16.47
1963-03-01,2024-05-31,2024-05-31,16.48
1963-04-01,2024-05-31,2024-05-31,16.5
1963-05-01,2024-05-31,2024-05-31,16.53
1963-06-01,2024-05-31,2024-05-31,16.558
1963-07-01,2024-05-31,2024-05-31,16.573
1963-08-01,2024-05-31,2024-05-31,16.588
1963-09-01,2024-05-31,2024-05-31,16.618
1963-10-01,2024-05-31,2024-05-31,16.655
1963-11-01,2024-05-31,2024-05-31,16.67
1963-12-01,2024-05-31,2024-05-31,16.694
1964-01-01,2024-05-31,2024-05-31,16.717
1964-02-01,2024-05-31,2024-05-31,16.749
1964-03-01,2024-05-31,2024-05-31,16.765
1964-04-01,2024-05-31,2024-05-31,16.78
