date,realtime_start_x,realtime_end_x,value_x,realtime_start_y,realtime_end_y,value_y,realtime_start,realtime_end,value
1959-01-01,2024-05-29,2024-05-29,29.01,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,306.1
1959-02-01,2024-05-29,2024-05-29,29.0,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,309.6
1959-03-01,2024-05-29,2024-05-29,28.97,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,312.7
1959-04-01,2024-05-29,2024-05-29,28.98,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,312.2
1959-05-01,2024-05-29,2024-05-29,29.04,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,316.1
1959-06-01,2024-05-29,2024-05-29,29.11,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,318.2
1959-07-01,2024-05-29,2024-05-29,29.15,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,317.8
1959-08-01,2024-05-29,2024-05-29,29.18,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,320.2
1959-09-01,2024-05-29,2024-05-29,29.25,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,324.2
1959-10-01,2024-05-29,2024-05-29,29.35,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,322.8
1959-11-01,2024-05-29,2024-05-29,29.35,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,322.9
1959-12-01,2024-05-29,2024-05-29,29.41,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,322.9
1960-01-01,2024-05-29,2024-05-29,29.37,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,323.6
1960-02-01,2024-05-29,2024-05-29,29.41,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,325.3
1960-03-01,2024-05-29,2024-05-29,29.41,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,330.2
1960-04-01,2024-05-29,2024-05-29,29.54,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,336.5
1960-05-01,2024-05-29,2024-05-29,29.57,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,330.0
1960-06-01,2024-05-29,2024-05-29,29.61,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,330.1
1960-07-01,2024-05-29,2024-05-29,29.55,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,331.4
1960-08-01,2024-05-29,2024-05-29,29.61,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,331.6
1960-09-01,2024-05-29,2024-05-29,29.61,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,333.4
1960-10-01,2024-05-29,2024-05-29,29.75,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,335.4
1960-11-01,2024-05-29,2024-05-29,29.78,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,335.4
1960-12-01,2024-05-29,2024-05-29,29.81,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,331.3
1961-01-01,2024-05-29,2024-05-29,29.84,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,332.2
1961-02-01,2024-05-29,2024-05-29,29.84,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,333.7
1961-03-01,2024-05-29,2024-05-29,29.84,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,337.7
1961-04-01,2024-05-29,2024-05-29,29.81,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,337.6
1961-05-01,2024-05-29,2024-05-29,29.84,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,339.9
1961-06-01,2024-05-29,2024-05-29,29.84,2024-05-23,2024-05-23,31.3,2024-05-31,2024-05-31,340.9
1961-07-01,2024-05-29,2024-05-29,29.92,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,340.6
1961-08-01,2024-05-29,2024-05-29,29.94,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,342.1
1961-09-01,2024-05-29,2024-05-29,29.98,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,344.4
1961-10-01,2024-05-29,2024-05-29,29.98,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,346.5
1961-11-01,2024-05-29,2024-05-29,29.98,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,349.9
1961-12-01,2024-05-29,2024-05-29,30.01,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,352.4
1962-01-01,2024-05-29,2024-05-29,30.04,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,353.2
1962-02-01,2024-05-29,2024-05-29,30.11,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,354.0
1962-03-01,2024-05-29,2024-05-29,30.17,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,357.4
1962-04-01,2024-05-29,2024-05-29,30.21,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,359.0
1962-05-01,2024-05-29,2024-05-29,30.24,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,362.0
1962-06-01,2024-05-29,2024-05-29,30.21,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,360.4
1962-07-01,2024-05-29,2024-05-29,30.22,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,361.4
1962-08-01,2024-05-29,2024-05-29,30.28,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,362.9
1962-09-01,2024-05-29,2024-05-29,30.42,2024-05-23,2024-05-23,31.9,2024-05-31,2024-05-31,368.8
1962-10-01,2024-05-29,2024-05-29,30.38,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,366.5
1962-11-01,2024-05-29,2024-05-29,30.38,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,371.7
1962-12-01,2024-05-29,2024-05-29,30.38,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,373.6
1963-01-01,2024-05-29,2024-05-29,30.44,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,374.4
1963-02-01,2024-05-29,2024-05-29,30.48,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,373.4
1963-03-01,2024-05-29,2024-05-29,30.51,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,375.0
1963-04-01,2024-05-29,2024-05-29,30.48,2024-05-23,2024-05-23,31.4,2024-05-31,2024-05-31,376.4
1963-05-01,2024-05-29,2024-05-29,30.51,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,377.2
1963-06-01,2024-05-29,2024-05-29,30.61,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,381.7
1963-07-01,2024-05-29,2024-05-29,30.69,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,384.4
1963-08-01,2024-05-29,2024-05-29,30.75,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,386.3
1963-09-01,2024-05-29,2024-05-29,30.72,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,385.5
1963-10-01,2024-05-29,2024-05-29,30.75,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,386.0
1963-11-01,2024-05-29,2024-05-29,30.78,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,389.4
1963-12-01,2024-05-29,2024-05-29,30.88,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,394.7
1964-01-01,2024-05-29,2024-05-29,30.94,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,396.8
1964-02-01,2024-05-29,2024-05-29,30.91,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,400.2
1964-03-01,2024-05-29,2024-05-29,30.94,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,401.8
1964-04-01,2024-05-29,2024-05-29,30.95,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,402.8
1964-05-01,2024-05-29,2024-05-29,30.98,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,408.4
1964-06-01,2024-05-29,2024-05-29,31.01,2024-05-23,2024-05-23,31.5,2024-05-31,2024-05-31,411.4
1964-07-01,2024-05-29,2024-05-29,31.02,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,414.9
1964-08-01,2024-05-29,2024-05-29,31.05,2024-05-23,2024-05-23,31.6,2024-05-31,2024-05-31,417.7
1964-09-01,2024-05-29,2024-05-29,31.08,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,416.6
1964-10-01,2024-05-29,2024-05-29,31.12,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,419.6
1964-11-01,2024-05-29,2024-05-29,31.21,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,416.4
1964-12-01,2024-05-29,2024-05-29,31.25,2024-05-23,2024-05-23,31.7,2024-05-31,2024-05-31,421.0
1965-01-01,2024-05-29,2024-05-29,31.28,2024-05-23,2024-05-23,31.8,2024-05-31,2024-05-31,424.4
1965-02-01,2024-05-29,2024-05-29,31.28,2024-05-23,2024-05-23,31.9,2024-05-31,2024-05-31,431.4
1965-03-01,2024-05-29,2024-05-29,31.31,2024-05-23,2024-05-23,31.9,2024-05-31,2024-05-31,433.3
1965-04-01,2024-05-29,2024-05-29,31.38,2024-05-23,2024-05-23,32.0,2024-05-31,2024-05-31,437.1
1965-05-01,2024-05-29,2024-05-29,31.48,2024-05-23,2024-05-23,32.1,2024-05-31,2024-05-31,437.6
1965-06-01,2024-05-29,2024-05-29,31.61,2024-05-23,2024-05-23,32.4,2024-05-31,2024-05-31,435.2
1965-07-01,2024-05-29,2024-05-29,31.58,2024-05-23,2024-05-23,32.4,2024-05-31,2024-05-31,441.0
1965-08-01,2024-05-29,2024-05-29,31.55,2024-05-23,2024-05-23,32.4,2024-05-31,2024-05-31,444.4
1965-09-01,2024-05-29,2024-05-29,31.62,2024-05-23,2024-05-23,32.4,2024-05-31,2024-05-31,452.0
1965-10-01,2024-05-29,2024-05-29,31.65,2024-05-23,2024-05-23,32.5,2024-05-31,2024-05-31,458.5
1965-11-01,2024-05-29,2024-05-29,31.75,2024-05-23,2024-05-23,32.6,2024-05-31,2024-05-31,459.1
1965-12-01,2024-05-29,2024-05-29,31.85,2024-05-23,2024-05-23,32.8,2024-05-31,2024-05-31,461.7
1966-01-01,2024-05-29,2024-05-29,31.88,2024-05-23,2024-05-23,32.9,2024-05-31,2024-05-31,465.2
1966-02-01,2024-05-29,2024-05-29,32.08,2024-05-23,2024-05-23,33.2,2024-05-31,2024-05-31,470.2
1966-03-01,2024-05-29,2024-05-29,32.18,2024-05-23,2024-05-23,33.2,2024-05-31,2024-05-31,475.0
1966-04-01,2024-05-29,2024-05-29,32.28,2024-05-23,2024-05-23,33.2,2024-05-31,2024-05-31,476.9
1966-05-01,2024-05-29,2024-05-29,32.35,2024-05-23,2024-05-23,33.2,2024-05-31,2024-05-31,473.1
1966-06-01,2024-05-29,2024-05-29,32.38,2024-05-23,2024-05-23,33.3,2024-05-31,2024-05-31,475.5
1966-07-01,2024-05-29,2024-05-29,32.45,2024-05-23,2024-05-23,33.5,2024-05-31,2024-05-31,480.6
1966-08-01,2024-05-29,2024-05-29,32.65,2024-05-23,2024-05-23,33.6,2024-05-31,2024-05-31,483.2
1966-09-01,2024-05-29,2024-05-29,32.75,2024-05-23,2024-05-23,33.6,2024-05-31,2024-05-31,489.2
1966-10-01,2024-05-29,2024-05-29,32.85,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,488.3
1966-11-01,2024-05-29,2024-05-29,32.88,2024-05-23,2024-05-23,33.3,2024-05-31,2024-05-31,490.1
1966-12-01,2024-05-29,2024-05-29,32.92,2024-05-23,2024-05-23,33.3,2024-05-31,2024-05-31,491.8
1967-01-01,2024-05-29,2024-05-29,32.9,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,494.2
1967-02-01,2024-05-29,2024-05-29,33.0,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,493.0
1967-03-01,2024-05-29,2024-05-29,33.0,2024-05-23,2024-05-23,33.3,2024-05-31,2024-05-31,495.8
1967-04-01,2024-05-29,2024-05-29,33.1,2024-05-23,2024-05-23,33.1,2024-05-31,2024-05-31,501.3
1967-05-01,2024-05-29,2024-05-29,33.1,2024-05-23,2024-05-23,33.3,2024-05-31,2024-05-31,502.2
1967-06-01,2024-05-29,2024-05-29,33.3,2024-05-23,2024-05-23,33.5,2024-05-31,2024-05-31,506.8
1967-07-01,2024-05-29,2024-05-29,33.4,2024-05-23,2024-05-23,33.5,2024-05-31,2024-05-31,506.7
1967-08-01,2024-05-29,2024-05-29,33.5,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,509.8
1967-09-01,2024-05-29,2024-05-29,33.6,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,515.6
1967-10-01,2024-05-29,2024-05-29,33.7,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,512.2
1967-11-01,2024-05-29,2024-05-29,33.9,2024-05-23,2024-05-23,33.4,2024-05-31,2024-05-31,517.4
1967-12-01,2024-05-29,2024-05-29,34.0,2024-05-23,2024-05-23,33.7,2024-05-31,2024-05-31,525.1
1968-01-01,2024-05-29,2024-05-29,34.1,2024-05-23,2024-05-23,33.8,2024-05-31,2024-05-31,530.9
1968-02-01,2024-05-29,2024-05-29,34.2,2024-05-23,2024-05-23,34.0,2024-05-31,2024-05-31,533.6
1968-03-01,2024-05-29,2024-05-29,34.3,2024-05-23,2024-05-23,34.1,2024-05-31,2024-05-31,544.3
1968-04-01,2024-05-29,2024-05-29,34.4,2024-05-23,2024-05-23,34.1,2024-05-31,2024-05-31,544.0
1968-05-01,2024-05-29,2024-05-29,34.5,2024-05-23,2024-05-23,34.2,2024-05-31,2024-05-31,549.8
1968-06-01,2024-05-29,2024-05-29,34.7,2024-05-23,2024-05-23,34.2,2024-05-31,2024-05-31,556.3
1968-07-01,2024-05-29,2024-05-29,34.9,2024-05-23,2024-05-23,34.3,2024-05-31,2024-05-31,563.2
1968-08-01,2024-05-29,2024-05-29,35.0,2024-05-23,2024-05-23,34.2,2024-05-31,2024-05-31,567.0
1968-09-01,2024-05-29,2024-05-29,35.1,2024-05-23,2024-05-23,34.4,2024-05-31,2024-05-31,568.2
1968-10-01,2024-05-29,2024-05-29,35.3,2024-05-23,2024-05-23,34.4,2024-05-31,2024-05-31,571.6
1968-11-01,2024-05-29,2024-05-29,35.4,2024-05-23,2024-05-23,34.5,2024-05-31,2024-05-31,576.7
1968-12-01,2024-05-29,2024-05-29,35.6,2024-05-23,2024-05-23,34.6,2024-05-31,2024-05-31,576.5
1969-01-01,2024-05-29,2024-05-29,35.7,2024-05-23,2024-05-23,34.8,2024-05-31,2024-05-31,583.5
1969-02-01,2024-05-29,2024-05-29,35.8,2024-05-23,2024-05-23,35.0,2024-05-31,2024-05-31,588.7
1969-03-01,2024-05-29,2024-05-29,36.1,2024-05-23,2024-05-23,35.2,2024-05-31,2024-05-31,588.9
1969-04-01,2024-05-29,2024-05-29,36.3,2024-05-23,2024-05-23,35.3,2024-05-31,2024-05-31,593.9
1969-05-01,2024-05-29,2024-05-29,36.4,2024-05-23,2024-05-23,35.5,2024-05-31,2024-05-31,600.3
1969-06-01,2024-05-29,2024-05-29,36.6,2024-05-23,2024-05-23,35.7,2024-05-31,2024-05-31,600.9
1969-07-01,2024-05-29,2024-05-29,36.8,2024-05-23,2024-05-23,35.8,2024-05-31,2024-05-31,602.7
1969-08-01,2024-05-29,2024-05-29,36.9,2024-05-23,2024-05-23,35.7,2024-05-31,2024-05-31,609.9
1969-09-01,2024-05-29,2024-05-29,37.1,2024-05-23,2024-05-23,35.8,2024-05-31,2024-05-31,613.2
1969-10-01,2024-05-29,2024-05-29,37.3,2024-05-23,2024-05-23,35.9,2024-05-31,2024-05-31,618.5
1969-11-01,2024-05-29,2024-05-29,37.5,2024-05-23,2024-05-23,36.1,2024-05-31,2024-05-31,620.5
1969-12-01,2024-05-29,2024-05-29,37.7,2024-05-23,2024-05-23,36.3,2024-05-31,2024-05-31,622.8
1970-01-01,2024-05-29,2024-05-29,37.9,2024-05-23,2024-05-23,36.5,2024-05-31,2024-05-31,628.7
1970-02-01,2024-05-29,2024-05-29,38.1,2024-05-23,2024-05-23,36.7,2024-05-31,2024-05-31,634.0
