date,realtime_start,realtime_end,value,pct_change
1959-01-01,2024-05-31,2024-05-31,15.164,
1959-02-01,2024-05-31,2024-05-31,15.179,
1959-03-01,2024-05-31,2024-05-31,15.189,
1959-04-01,2024-05-31,2024-05-31,15.219,
1959-05-01,2024-05-31,2024-05-31,15.227,
1959-06-01,2024-05-31,2024-05-31,15.271,
1959-07-01,2024-05-31,2024-05-31,15.303,
1959-08-01,2024-05-31,2024-05-31,15.325,
1959-09-01,2024-05-31,2024-05-31,15.365,
1959-10-01,2024-05-31,2024-05-31,15.402,
1959-11-01,2024-05-31,2024-05-31,15.412,
1959-12-01,2024-05-31,2024-05-31,15.43,
1960-01-01,2024-05-31,2024-05-31,15.421,1.6948034819308955
1960-02-01,2024-05-31,2024-05-31,15.437,1.6997167138810054
1960-03-01,2024-05-31,2024-05-31,15.446,1.6920139574692294
1960-04-01,2024-05-31,2024-05-31,15.502,1.859517708128
1960-05-01,2024-05-31,2024-05-31,15.518,1.9110790044000847
1960-06-01,2024-05-31,2024-05-31,15.525,1.6632833475214381
1960-07-01,2024-05-31,2024-05-31,15.553,1.6336666013200052
1960-08-01,2024-05-31,2024-05-31,15.579,1.6574225122349295
1960-09-01,2024-05-31,2024-05-31,15.588,1.451350471851609
1960-10-01,2024-05-31,2024-05-31,15.606,1.324503311258285
1960-11-01,2024-05-31,2024-05-31,15.659,1.6026472878276632
1960-12-01,2024-05-31,2024-05-31,15.662,1.503564484769937
1961-01-01,2024-05-31,2024-05-31,15.665,1.582257959924771
1961-02-01,2024-05-31,2024-05-31,15.679,1.5676621105137123
1961-03-01,2024-05-31,2024-05-31,15.67,1.4502136475462946
1961-04-01,2024-05-31,2024-05-31,15.661,1.0256741065668873
1961-05-01,2024-05-31,2024-05-31,15.67,0.9795076685139792
1961-06-01,2024-05-31,2024-05-31,15.677,0.9790660225442727
1961-07-01,2024-05-31,2024-05-31,15.711,1.0158811804796386
1961-08-01,2024-05-31,2024-05-31,15.724,0.9307400988510128
1961-09-01,2024-05-31,2024-05-31,15.742,0.9879394405953423
1961-10-01,2024-05-31,2024-05-31,15.741,0.865051903114189
1961-11-01,2024-05-31,2024-05-31,15.742,0.5300466185580222
1961-12-01,2024-05-31,2024-05-31,15.746,0.5363299706295566
1962-01-01,2024-05-31,2024-05-31,15.776,0.7085860197893368
1962-02-01,2024-05-31,2024-05-31,15.818,0.8865361311308106
1962-03-01,2024-05-31,2024-05-31,15.839,1.0784939374601121
1962-04-01,2024-05-31,2024-05-31,15.857,1.2515165059702404
1962-05-01,2024-05-31,2024-05-31,15.867,1.2571793235481854
1962-06-01,2024-05-31,2024-05-31,15.877,1.2757542897237961
1962-07-01,2024-05-31,2024-05-31,15.868,0.9992998536057618
1962-08-01,2024-05-31,2024-05-31,15.891,1.0620707199185953
1962-09-01,2024-05-31,2024-05-31,15.969,1.4420022868758542
1962-10-01,2024-05-31,2024-05-31,15.953,1.3468013468013407
1962-11-01,2024-05-31,2024-05-31,15.964,1.4102401219667104
1962-12-01,2024-05-31,2024-05-31,15.958,1.3463736822050043
1963-01-01,2024-05-31,2024-05-31,15.997,1.400862068965525
1963-02-01,2024-05-31,2024-05-31,16.014,1.2390947022379528
1963-03-01,2024-05-31,2024-05-31,16.001,1.0227918429193794
1963-04-01,2024-05-31,2024-05-31,16.0,0.9018099262155577
1963-05-01,2024-05-31,2024-05-31,16.026,1.0020797882397403
1963-06-01,2024-05-31,2024-05-31,16.061,1.158909113812423
1963-07-01,2024-05-31,2024-05-31,16.093,1.4179480715906134
1963-08-01,2024-05-31,2024-05-31,16.115,1.4096029198917615
1963-09-01,2024-05-31,2024-05-31,16.112,0.8954850021917427
1963-10-01,2024-05-31,2024-05-31,16.143,1.1909985582649218
1963-11-01,2024-05-31,2024-05-31,16.166,1.2653470308193526
1963-12-01,2024-05-31,2024-05-31,16.19,1.4538162677027344
1964-01-01,2024-05-31,2024-05-31,16.224,1.4190160655122908
1964-02-01,2024-05-31,2024-05-31,16.247,1.4549768952166975
1964-03-01,2024-05-31,2024-05-31,16.257,1.5999000062496105
1964-04-01,2024-05-31,2024-05-31,16.269,1.6812499999999897
1964-05-01,2024-05-31,2024-05-31,16.271,1.528765755647088
1964-06-01,2024-05-31,2024-05-31,16.294,1.450719133304279
1964-07-01,2024-05-31,2024-05-31,16.315,1.3794817622568845
1964-08-01,2024-05-31,2024-05-31,16.327,1.3155445237356789
1964-09-01,2024-05-31,2024-05-31,16.352,1.489572989076482
1964-10-01,2024-05-31,2024-05-31,16.362,1.3566251626091708
1964-11-01,2024-05-31,2024-05-31,16.385,1.354695038970677
1964-12-01,2024-05-31,2024-05-31,16.409,1.3526868437306883
1965-01-01,2024-05-31,2024-05-31,16.427,1.2512327416173585
1965-02-01,2024-05-31,2024-05-31,16.434,1.1509817197021155
1965-03-01,2024-05-31,2024-05-31,16.455,1.2179368887248465
1965-04-01,2024-05-31,2024-05-31,16.481,1.3030917696232214
1965-05-01,2024-05-31,2024-05-31,16.518,1.5180382275213455
1965-06-01,2024-05-31,2024-05-31,16.566,1.669326132318627
1965-07-01,2024-05-31,2024-05-31,16.578,1.6120134845234224
1965-08-01,2024-05-31,2024-05-31,16.582,1.5618300973846866
1965-09-01,2024-05-31,2024-05-31,16.59,1.4554794520547976
1965-10-01,2024-05-31,2024-05-31,16.595,1.4240312920180909
1965-11-01,2024-05-31,2024-05-31,16.623,1.452548062252057
1965-12-01,2024-05-31,2024-05-31,16.683,1.6698153452373798
1966-01-01,2024-05-31,2024-05-31,16.703,1.6801607110245254
1966-02-01,2024-05-31,2024-05-31,16.772,2.0567116952658893
1966-03-01,2024-05-31,2024-05-31,16.813,2.175630507444559
1966-04-01,2024-05-31,2024-05-31,16.871,2.3663612644863496
1966-05-01,2024-05-31,2024-05-31,16.892,2.2641966339750574
1966-06-01,2024-05-31,2024-05-31,16.934,2.221417360859612
1966-07-01,2024-05-31,2024-05-31,16.967,2.346483291108692
1966-08-01,2024-05-31,2024-05-31,17.032,2.7137860330478825
1966-09-01,2024-05-31,2024-05-31,17.086,2.9897528631705805
1966-10-01,2024-05-31,2024-05-31,17.131,3.229888520638746
1966-11-01,2024-05-31,2024-05-31,17.156,3.206400770017437
1966-12-01,2024-05-31,2024-05-31,17.192,3.051010010190014
1967-01-01,2024-05-31,2024-05-31,17.193,2.933604741663176
1967-02-01,2024-05-31,2024-05-31,17.213,2.6293823038397557
1967-03-01,2024-05-31,2024-05-31,17.222,2.4326414084339554
1967-04-01,2024-05-31,2024-05-31,17.251,2.252385750696484
1967-05-01,2024-05-31,2024-05-31,17.284,2.3206251479990447
1967-06-01,2024-05-31,2024-05-31,17.339,2.391638124483264
1967-07-01,2024-05-31,2024-05-31,17.398,2.5402251429245126
1967-08-01,2024-05-31,2024-05-31,17.452,2.465946453734147
1967-09-01,2024-05-31,2024-05-31,17.505,2.4523001287603874
1967-10-01,2024-05-31,2024-05-31,17.554,2.469207868775891
1967-11-01,2024-05-31,2024-05-31,17.612,2.6579622289577998
1967-12-01,2024-05-31,2024-05-31,17.64,2.6058631921824116
1968-01-01,2024-05-31,2024-05-31,17.722,3.0768335950677628
1968-02-01,2024-05-31,2024-05-31,17.794,3.3753558357055624
1968-03-01,2024-05-31,2024-05-31,17.852,3.6581117175705335
1968-04-01,2024-05-31,2024-05-31,17.908,3.8084748710219607
1968-05-01,2024-05-31,2024-05-31,17.974,3.9921314510529937
1968-06-01,2024-05-31,2024-05-31,18.032,3.9967702866370747
1968-07-01,2024-05-31,2024-05-31,18.087,3.960225313254395
1968-08-01,2024-05-31,2024-05-31,18.161,4.062571625028655
1968-09-01,2024-05-31,2024-05-31,18.224,4.107397886318198
1968-10-01,2024-05-31,2024-05-31,18.304,4.272530477384073
1968-11-01,2024-05-31,2024-05-31,18.366,4.281171928230765
1968-12-01,2024-05-31,2024-05-31,18.404,4.331065759637176
1969-01-01,2024-05-31,2024-05-31,18.476,4.254598803746745
1969-02-01,2024-05-31,2024-05-31,18.523,4.096886590985727
1969-03-01,2024-05-31,2024-05-31,18.61,4.24602285458211
1969-04-01,2024-05-31,2024-05-31,18.692,4.377931650658917
1969-05-01,2024-05-31,2024-05-31,18.767,4.41192834093691
1969-06-01,2024-05-31,2024-05-31,18.858,4.5807453416149
1969-07-01,2024-05-31,2024-05-31,18.941,4.721623265328678
1969-08-01,2024-05-31,2024-05-31,18.993,4.581245526127398
1969-09-01,2024-05-31,2024-05-31,19.072,4.653204565408253
1969-10-01,2024-05-31,2024-05-31,19.137,4.550917832167833
1969-11-01,2024-05-31,2024-05-31,19.22,4.649896547969079
1969-12-01,2024-05-31,2024-05-31,19.308,4.9119756574657725
1970-01-01,2024-05-31,2024-05-31,19.377,4.876596665944999
1970-02-01,2024-05-31,2024-05-31,19.454,5.02618366355343
1970-03-01,2024-05-31,2024-05-31,19.502,4.7931219774314915
1970-04-01,2024-05-31,2024-05-31,19.601,4.863043013053714
1970-05-01,2024-05-31,2024-05-31,19.663,4.774337933606865
1970-06-01,2024-05-31,2024-05-31,19.714,4.539187612684259
1970-07-01,2024-05-31,2024-05-31,19.786,4.46122168840084
1970-08-01,2024-05-31,2024-05-31,19.838,4.449007529089677
1970-09-01,2024-05-31,2024-05-31,19.927,4.483011744966436
1970-10-01,2024-05-31,2024-05-31,20.026,4.645451220149455
1970-11-01,2024-05-31,2024-05-31,20.105,4.604578563995854
1970-12-01,2024-05-31,2024-05-31,20.194,4.588771493681376
1971-01-01,2024-05-31,2024-05-31,20.237,4.438251535325377
1971-02-01,2024-05-31,2024-05-31,20.296,4.328158733422427
1971-03-01,2024-05-31,2024-05-31,20.363,4.414931801866473
1971-04-01,2024-05-31,2024-05-31,20.443,4.295699199020464
1971-05-01,2024-05-31,2024-05-31,20.528,4.399125260641812
1971-06-01,2024-05-31,2024-05-31,20.619,4.590646241249874
1971-07-01,2024-05-31,2024-05-31,20.681,4.523400384109966
1971-08-01,2024-05-31,2024-05-31,20.741,4.551870148200421
1971-09-01,2024-05-31,2024-05-31,20.772,4.240477743764726
1971-10-01,2024-05-31,2024-05-31,20.804,3.884949565564755
1971-11-01,2024-05-31,2024-05-31,20.847,3.6906242228301522
1971-12-01,2024-05-31,2024-05-31,20.929,3.639694958898687
1972-01-01,2024-05-31,2024-05-31,21.015,3.844443346345816
1972-02-01,2024-05-31,2024-05-31,21.098,3.9515175404020386
1972-03-01,2024-05-31,2024-05-31,21.128,3.7568138290035913
1972-04-01,2024-05-31,2024-05-31,21.16,3.5073130166805244
1972-05-01,2024-05-31,2024-05-31,21.207,3.307677318784119
1972-06-01,2024-05-31,2024-05-31,21.239,3.006935350889961
1972-07-01,2024-05-31,2024-05-31,21.315,3.065615782602382
1972-08-01,2024-05-31,2024-05-31,21.377,3.066390241550554
1972-09-01,2024-05-31,2024-05-31,21.473,3.3747352204891223
1972-10-01,2024-05-31,2024-05-31,21.497,3.3310901749663557
1972-11-01,2024-05-31,2024-05-31,21.561,3.4249532306806607
1972-12-01,2024-05-31,2024-05-31,21.63,3.349419465812997
1973-01-01,2024-05-31,2024-05-31,21.695,3.235783963835348
1973-02-01,2024-05-31,2024-05-31,21.809,3.369987676557029
1973-03-01,2024-05-31,2024-05-31,21.964,3.9568345323740983
1973-04-01,2024-05-31,2024-05-31,22.127,4.569943289224954
1973-05-01,2024-05-31,2024-05-31,22.236,4.852171452822174
1973-06-01,2024-05-31,2024-05-31,22.363,5.2921512312255725
1973-07-01,2024-05-31,2024-05-31,22.444,5.2967393854093325
1973-08-01,2024-05-31,2024-05-31,22.703,6.202928380970207
1973-09-01,2024-05-31,2024-05-31,22.793,6.147254691938708
1973-10-01,2024-05-31,2024-05-31,22.922,6.62883193003676
1973-11-01,2024-05-31,2024-05-31,23.11,7.184267891099672
1973-12-01,2024-05-31,2024-05-31,23.3,7.720758206195111
1974-01-01,2024-05-31,2024-05-31,23.523,8.425904586310207
1974-02-01,2024-05-31,2024-05-31,23.797,9.115502774084083
1974-03-01,2024-05-31,2024-05-31,24.073,9.602076124567493
1974-04-01,2024-05-31,2024-05-31,24.243,9.56297735797893
1974-05-01,2024-05-31,2024-05-31,24.482,10.100737542723515
1974-06-01,2024-05-31,2024-05-31,24.69,10.405580646603774
1974-07-01,2024-05-31,2024-05-31,24.872,10.818036000712894
1974-08-01,2024-05-31,2024-05-31,25.132,10.699026560366477
1974-09-01,2024-05-31,2024-05-31,25.393,11.407010924406613
1974-10-01,2024-05-31,2024-05-31,25.575,11.574033679434592
1974-11-01,2024-05-31,2024-05-31,25.767,11.497187364777162
1974-12-01,2024-05-31,2024-05-31,25.971,11.463519313304715
1975-01-01,2024-05-31,2024-05-31,26.132,11.091272371721296
1975-02-01,2024-05-31,2024-05-31,26.274,10.408875068285916
1975-03-01,2024-05-31,2024-05-31,26.363,9.512732106509358
1975-04-01,2024-05-31,2024-05-31,26.452,9.111908592170948
1975-05-01,2024-05-31,2024-05-31,26.558,8.47969937096642
1975-06-01,2024-05-31,2024-05-31,26.724,8.238153098420398
1975-07-01,2024-05-31,2024-05-31,26.953,8.366838211643612
1975-08-01,2024-05-31,2024-05-31,27.07,7.7112844182715135
1975-09-01,2024-05-31,2024-05-31,27.204,7.131886740440274
1975-10-01,2024-05-31,2024-05-31,27.362,6.987292277614854
1975-11-01,2024-05-31,2024-05-31,27.538,6.873132301005169
1975-12-01,2024-05-31,2024-05-31,27.69,6.6189211043086615
