date,realtime_start,realtime_end,value
1947-04-01,2024-05-28,2024-05-28,26.0
1947-05-01,2024-05-28,2024-05-28,26.1
1947-06-01,2024-05-28,2024-05-28,26.2
1947-07-01,2024-05-28,2024-05-28,26.2
1947-08-01,2024-05-28,2024-05-28,26.3
1947-09-01,2024-05-28,2024-05-28,26.7
1947-10-01,2024-05-28,2024-05-28,26.8
1947-11-01,2024-05-28,2024-05-28,27.1
1947-12-01,2024-05-28,2024-05-28,27.7
1948-01-01,2024-05-28,2024-05-28,28.1
1948-02-01,2024-05-28,2024-05-28,27.9
1948-03-01,2024-05-28,2024-05-28,28.0
1948-04-01,2024-05-28,2024-05-28,28.1
1948-05-01,2024-05-28,2024-05-28,28.4
1948-06-01,2024-05-28,2024-05-28,28.6
1948-07-01,2024-05-28,2024-05-28,28.8
1948-08-01,2024-05-28,2024-05-28,28.9
1948-09-01,2024-05-28,2024-05-28,28.8
1948-10-01,2024-05-28,2024-05-28,28.7
1948-11-01,2024-05-28,2024-05-28,28.5
1948-12-01,2024-05-28,2024-05-28,28.5
1949-01-01,2024-05-28,2024-05-28,28.3
1949-02-01,2024-05-28,2024-05-28,28.0
1949-03-01,2024-05-28,2024-05-28,28.0
1949-04-01,2024-05-28,2024-05-28,27.9
1949-05-01,2024-05-28,2024-05-28,27.8
1949-06-01,2024-05-28,2024-05-28,27.7
1949-07-01,2024-05-28,2024-05-28,27.5
1949-08-01,2024-05-28,2024-05-28,27.4
1949-09-01,2024-05-28,2024-05-28,27.4
1949-10-01,2024-05-28,2024-05-28,27.3
1949-11-01,2024-05-28,2024-05-28,27.2
1949-12-01,2024-05-28,2024-05-28,27.2
1950-01-01,2024-05-28,2024-05-28,27.2
1950-02-01,2024-05-28,2024-05-28,27.2
1950-03-01,2024-05-28,2024-05-28,27.3
1950-04-01,2024-05-28,2024-05-28,27.3
1950-05-01,2024-05-28,2024-05-28,27.5
1950-06-01,2024-05-28,2024-05-28,27.6
1950-07-01,2024-05-28,2024-05-28,28.0
1950-08-01,2024-05-28,2024-05-28,28.6
1950-09-01,2024-05-28,2024-05-28,28.9
1950-10-01,2024-05-28,2024-05-28,29.0
1950-11-01,2024-05-28,2024-05-28,29.4
1950-12-01,2024-05-28,2024-05-28,30.0
1951-01-01,2024-05-28,2024-05-28,30.5
1951-02-01,2024-05-28,2024-05-28,30.8
1951-03-01,2024-05-28,2024-05-28,30.9
1951-04-01,2024-05-28,2024-05-28,30.9
1951-05-01,2024-05-28,2024-05-28,31.1
1951-06-01,2024-05-28,2024-05-28,31.0
1951-07-01,2024-05-28,2024-05-28,30.8
1951-08-01,2024-05-28,2024-05-28,30.7
1951-09-01,2024-05-28,2024-05-28,30.6
1951-10-01,2024-05-28,2024-05-28,30.8
1951-11-01,2024-05-28,2024-05-28,30.9
1951-12-01,2024-05-28,2024-05-28,30.9
1952-01-01,2024-05-28,2024-05-28,30.8
1952-02-01,2024-05-28,2024-05-28,30.7
1952-03-01,2024-05-28,2024-05-28,30.9
1952-04-01,2024-05-28,2024-05-28,30.7
1952-05-01,2024-05-28,2024-05-28,30.7
1952-06-01,2024-05-28,2024-05-28,30.7
1952-07-01,2024-05-28,2024-05-28,30.8
1952-08-01,2024-05-28,2024-05-28,30.7
1952-09-01,2024-05-28,2024-05-28,30.6
1952-10-01,2024-05-28,2024-05-28,30.5
1952-11-01,2024-05-28,2024-05-28,30.4
1952-12-01,2024-05-28,2024-05-28,30.2
1953-01-01,2024-05-28,2024-05-28,30.3
1953-02-01,2024-05-28,2024-05-28,30.2
1953-03-01,2024-05-28,2024-05-28,30.3
1953-04-01,2024-05-28,2024-05-28,30.2
1953-05-01,2024-05-28,2024-05-28,30.3
1953-06-01,2024-05-28,2024-05-28,30.4
1953-07-01,2024-05-28,2024-05-28,30.5
1953-08-01,2024-05-28,2024-05-28,30.4
1953-09-01,2024-05-28,2024-05-28,30.4
1953-10-01,2024-05-28,2024-05-28,30.4
1953-11-01,2024-05-28,2024-05-28,30.3
1953-12-01,2024-05-28,2024-05-28,30.4
1954-01-01,2024-05-28,2024-05-28,30.5
1954-02-01,2024-05-28,2024-05-28,30.4
1954-03-01,2024-05-28,2024-05-28,30.4
1954-04-01,2024-05-28,2024-05-28,30.6
1954-05-01,2024-05-28,2024-05-28,30.6
1954-06-01,2024-05-28,2024-05-28,30.4
1954-07-01,2024-05-28,2024-05-28,30.5
1954-08-01,2024-05-28,2024-05-28,30.4
1954-09-01,2024-05-28,2024-05-28,30.3
1954-10-01,2024-05-28,2024-05-28,30.2
1954-11-01,2024-05-28,2024-05-28,30.3
1954-12-01,2024-05-28,2024-05-28,30.3
1955-01-01,2024-05-28,2024-05-28,30.4
1955-02-01,2024-05-28,2024-05-28,30.5
1955-03-01,2024-05-28,2024-05-28,30.3
1955-04-01,2024-05-28,2024-05-28,30.4
1955-05-01,2024-05-28,2024-05-28,30.4
1955-06-01,2024-05-28,2024-05-28,30.5
1955-07-01,2024-05-28,2024-05-28,30.4
1955-08-01,2024-05-28,2024-05-28,30.4
1955-09-01,2024-05-28,2024-05-28,30.5
1955-10-01,2024-05-28,2024-05-28,30.6
1955-11-01,2024-05-28,2024-05-28,30.6
1955-12-01,2024-05-28,2024-05-28,30.7
1956-01-01,2024-05-28,2024-05-28,30.7
1956-02-01,2024-05-28,2024-05-28,30.8
1956-03-01,2024-05-28,2024-05-28,30.9
1956-04-01,2024-05-28,2024-05-28,31.0
1956-05-01,2024-05-28,2024-05-28,31.2
1956-06-01,2024-05-28,2024-05-28,31.4
1956-07-01,2024-05-28,2024-05-28,31.3
1956-08-01,2024-05-28,2024-05-28,31.4
1956-09-01,2024-05-28,2024-05-28,31.6
1956-10-01,2024-05-28,2024-05-28,31.8
1956-11-01,2024-05-28,2024-05-28,31.9
1956-12-01,2024-05-28,2024-05-28,31.9
1957-01-01,2024-05-28,2024-05-28,32.1
1957-02-01,2024-05-28,2024-05-28,32.2
1957-03-01,2024-05-28,2024-05-28,32.1
1957-04-01,2024-05-28,2024-05-28,32.3
1957-05-01,2024-05-28,2024-05-28,32.3
1957-06-01,2024-05-28,2024-05-28,32.5
1957-07-01,2024-05-28,2024-05-28,32.6
1957-08-01,2024-05-28,2024-05-28,32.6
1957-09-01,2024-05-28,2024-05-28,32.6
1957-10-01,2024-05-28,2024-05-28,32.7
1957-11-01,2024-05-28,2024-05-28,32.9
1957-12-01,2024-05-28,2024-05-28,33.0
1958-01-01,2024-05-28,2024-05-28,33.2
1958-02-01,2024-05-28,2024-05-28,33.2
1958-03-01,2024-05-28,2024-05-28,33.4
1958-04-01,2024-05-28,2024-05-28,33.2
1958-05-01,2024-05-28,2024-05-28,33.2
1958-06-01,2024-05-28,2024-05-28,33.3
1958-07-01,2024-05-28,2024-05-28,33.2
1958-08-01,2024-05-28,2024-05-28,33.2
1958-09-01,2024-05-28,2024-05-28,33.2
1958-10-01,2024-05-28,2024-05-28,33.2
1958-11-01,2024-05-28,2024-05-28,33.2
1958-12-01,2024-05-28,2024-05-28,33.1
1959-01-01,2024-05-28,2024-05-28,33.1
1959-02-01,2024-05-28,2024-05-28,33.2
1959-03-01,2024-05-28,2024-05-28,33.2
1959-04-01,2024-05-28,2024-05-28,33.2
1959-05-01,2024-05-28,2024-05-28,33.3
1959-06-01,2024-05-28,2024-05-28,33.2
1959-07-01,2024-05-28,2024-05-28,33.1
1959-08-01,2024-05-28,2024-05-28,33.0
1959-09-01,2024-05-28,2024-05-28,33.4
1959-10-01,2024-05-28,2024-05-28,33.1
1959-11-01,2024-05-28,2024-05-28,33.0
1959-12-01,2024-05-28,2024-05-28,33.0
1960-01-01,2024-05-28,2024-05-28,33.1
1960-02-01,2024-05-28,2024-05-28,33.1
1960-03-01,2024-05-28,2024-05-28,33.4
1960-04-01,2024-05-28,2024-05-28,33.4
1960-05-01,2024-05-28,2024-05-28,33.4
1960-06-01,2024-05-28,2024-05-28,33.4
1960-07-01,2024-05-28,2024-05-28,33.5
1960-08-01,2024-05-28,2024-05-28,33.4
1960-09-01,2024-05-28,2024-05-28,33.4
1960-10-01,2024-05-28,2024-05-28,33.7
1960-11-01,2024-05-28,2024-05-28,33.7
1960-12-01,2024-05-28,2024-05-28,33.6
1961-01-01,2024-05-28,2024-05-28,33.6
1961-02-01,2024-05-28,2024-05-28,33.7
1961-03-01,2024-05-28,2024-05-28,33.6
1961-04-01,2024-05-28,2024-05-28,33.4
1961-05-01,2024-05-28,2024-05-28,33.3
1961-06-01,2024-05-28,2024-05-28,33.3
1961-07-01,2024-05-28,2024-05-28,33.3
1961-08-01,2024-05-28,2024-05-28,33.4
1961-09-01,2024-05-28,2024-05-28,33.3
1961-10-01,2024-05-28,2024-05-28,33.3
1961-11-01,2024-05-28,2024-05-28,33.4
1961-12-01,2024-05-28,2024-05-28,33.4
1962-01-01,2024-05-28,2024-05-28,33.5
1962-02-01,2024-05-28,2024-05-28,33.6
1962-03-01,2024-05-28,2024-05-28,33.5
1962-04-01,2024-05-28,2024-05-28,33.5
1962-05-01,2024-05-28,2024-05-28,33.4
1962-06-01,2024-05-28,2024-05-28,33.4
1962-07-01,2024-05-28,2024-05-28,33.4
1962-08-01,2024-05-28,2024-05-28,33.5
1962-09-01,2024-05-28,2024-05-28,33.8
1962-10-01,2024-05-28,2024-05-28,33.6
1962-11-01,2024-05-28,2024-05-28,33.6
1962-12-01,2024-05-28,2024-05-28,33.5
1963-01-01,2024-05-28,2024-05-28,33.4
1963-02-01,2024-05-28,2024-05-28,33.4
1963-03-01,2024-05-28,2024-05-28,33.3
1963-04-01,2024-05-28,2024-05-28,33.3
1963-05-01,2024-05-28,2024-05-28,33.4
1963-06-01,2024-05-28,2024-05-28,33.5
1963-07-01,2024-05-28,2024-05-28,33.4
1963-08-01,2024-05-28,2024-05-28,33.4
1963-09-01,2024-05-28,2024-05-28,33.4
1963-10-01,2024-05-28,2024-05-28,33.5
1963-11-01,2024-05-28,2024-05-28,33.5
1963-12-01,2024-05-28,2024-05-28,33.4
1964-01-01,2024-05-28,2024-05-28,33.5
1964-02-01,2024-05-28,2024-05-28,33.5
1964-03-01,2024-05-28,2024-05-28,33.4
1964-04-01,2024-05-28,2024-05-28,33.5
1964-05-01,2024-05-28,2024-05-28,33.5
1964-06-01,2024-05-28,2024-05-28,33.5
1964-07-01,2024-05-28,2024-05-28,33.5
1964-08-01,2024-05-28,2024-05-28,33.6
1964-09-01,2024-05-28,2024-05-28,33.6
1964-10-01,2024-05-28,2024-05-28,33.6
1964-11-01,2024-05-28,2024-05-28,33.6
1964-12-01,2024-05-28,2024-05-28,33.6
1965-01-01,2024-05-28,2024-05-28,33.6
1965-02-01,2024-05-28,2024-05-28,33.7
1965-03-01,2024-05-28,2024-05-28,33.7
1965-04-01,2024-05-28,2024-05-28,34.0
1965-05-01,2024-05-28,2024-05-28,34.1
1965-06-01,2024-05-28,2024-05-28,34.2
1965-07-01,2024-05-28,2024-05-28,34.1
1965-08-01,2024-05-28,2024-05-28,34.2
1965-09-01,2024-05-28,2024-05-28,34.3
1965-10-01,2024-05-28,2024-05-28,34.4
1965-11-01,2024-05-28,2024-05-28,34.5
1965-12-01,2024-05-28,2024-05-28,34.7
1966-01-01,2024-05-28,2024-05-28,34.7
1966-02-01,2024-05-28,2024-05-28,35.0
1966-03-01,2024-05-28,2024-05-28,35.0
1966-04-01,2024-05-28,2024-05-28,35.1
1966-05-01,2024-05-28,2024-05-28,35.1
1966-06-01,2024-05-28,2024-05-28,34.9
1966-07-01,2024-05-28,2024-05-28,35.1
1966-08-01,2024-05-28,2024-05-28,35.4
1966-09-01,2024-05-28,2024-05-28,35.6
1966-10-01,2024-05-28,2024-05-28,35.5
1966-11-01,2024-05-28,2024-05-28,35.5
1966-12-01,2024-05-28,2024-05-28,35.4
1967-01-01,2024-05-28,2024-05-28,35.4
1967-02-01,2024-05-28,2024-05-28,35.3
1967-03-01,2024-05-28,2024-05-28,35.3
1967-04-01,2024-05-28,2024-05-28,35.3
1967-05-01,2024-05-28,2024-05-28,35.4
1967-06-01,2024-05-28,2024-05-28,35.7
1967-07-01,2024-05-28,2024-05-28,35.7
1967-08-01,2024-05-28,2024-05-28,35.8
1967-09-01,2024-05-28,2024-05-28,35.8
1967-10-01,2024-05-28,2024-05-28,35.9
1967-11-01,2024-05-28,2024-05-28,35.9
1967-12-01,2024-05-28,2024-05-28,36.0
1968-01-01,2024-05-28,2024-05-28,36.1
1968-02-01,2024-05-28,2024-05-28,36.2
1968-03-01,2024-05-28,2024-05-28,36.3
1968-04-01,2024-05-28,2024-05-28,36.5
1968-05-01,2024-05-28,2024-05-28,36.5
1968-06-01,2024-05-28,2024-05-28,36.6
1968-07-01,2024-05-28,2024-05-28,36.7
1968-08-01,2024-05-28,2024-05-28,36.8
1968-09-01,2024-05-28,2024-05-28,37.0
1968-10-01,2024-05-28,2024-05-28,37.0
1968-11-01,2024-05-28,2024-05-28,37.1
1968-12-01,2024-05-28,2024-05-28,37.1
1969-01-01,2024-05-28,2024-05-28,37.2
1969-02-01,2024-05-28,2024-05-28,37.2
1969-03-01,2024-05-28,2024-05-28,37.4
1969-04-01,2024-05-28,2024-05-28,37.6
1969-05-01,2024-05-28,2024-05-28,37.8
1969-06-01,2024-05-28,2024-05-28,38.0
1969-07-01,2024-05-28,2024-05-28,38.1
1969-08-01,2024-05-28,2024-05-28,38.2
1969-09-01,2024-05-28,2024-05-28,38.3
1969-10-01,2024-05-28,2024-05-28,38.5
1969-11-01,2024-05-28,2024-05-28,38.8
1969-12-01,2024-05-28,2024-05-28,38.9
1970-01-01,2024-05-28,2024-05-28,39.1
1970-02-01,2024-05-28,2024-05-28,39.0
1970-03-01,2024-05-28,2024-05-28,39.1
1970-04-01,2024-05-28,2024-05-28,39.1
1970-05-01,2024-05-28,2024-05-28,39.1
1970-06-01,2024-05-28,2024-05-28,39.2
1970-07-01,2024-05-28,2024-05-28,39.2
1970-08-01,2024-05-28,2024-05-28,39.2
1970-09-01,2024-05-28,2024-05-28,39.6
1970-10-01,2024-05-28,2024-05-28,39.6
1970-11-01,2024-05-28,2024-05-28,39.8
1970-12-01,2024-05-28,2024-05-28,39.8
1971-01-01,2024-05-28,2024-05-28,39.9
1971-02-01,2024-05-28,2024-05-28,40.1
1971-03-01,2024-05-28,2024-05-28,40.2
1971-04-01,2024-05-28,2024-05-28,40.3
1971-05-01,2024-05-28,2024-05-28,40.5
1971-06-01,2024-05-28,2024-05-28,40.6
1971-07-01,2024-05-28,2024-05-28,40.4
1971-08-01,2024-05-28,2024-05-28,40.7
1971-09-01,2024-05-28,2024-05-28,40.7
1971-10-01,2024-05-28,2024-05-28,40.7
1971-11-01,2024-05-28,2024-05-28,40.8
1971-12-01,2024-05-28,2024-05-28,41.1
1972-01-01,2024-05-28,2024-05-28,41.0
1972-02-01,2024-05-28,2024-05-28,41.3
1972-03-01,2024-05-28,2024-05-28,41.3
1972-04-01,2024-05-28,2024-05-28,41.3
1972-05-01,2024-05-28,2024-05-28,41.5
1972-06-01,2024-05-28,2024-05-28,41.7
1972-07-01,2024-05-28,2024-05-28,41.8
1972-08-01,2024-05-28,2024-05-28,42.0
1972-09-01,2024-05-28,2024-05-28,42.2
1972-10-01,2024-05-28,2024-05-28,42.0
1972-11-01,2024-05-28,2024-05-28,42.3
1972-12-01,2024-05-28,2024-05-28,42.7
1973-01-01,2024-05-28,2024-05-28,43.0
1973-02-01,2024-05-28,2024-05-28,43.5
1973-03-01,2024-05-28,2024-05-28,44.4
1973-04-01,2024-05-28,2024-05-28,44.7
1973-05-01,2024-05-28,2024-05-28,45.0
1973-06-01,2024-05-28,2024-05-28,45.5
1973-07-01,2024-05-28,2024-05-28,45.4
1973-08-01,2024-05-28,2024-05-28,47.0
1973-09-01,2024-05-28,2024-05-28,46.9
1973-10-01,2024-05-28,2024-05-28,46.8
1973-11-01,2024-05-28,2024-05-28,47.2
1973-12-01,2024-05-28,2024-05-28,47.6
1974-01-01,2024-05-28,2024-05-28,48.8
1974-02-01,2024-05-28,2024-05-28,49.7
1974-03-01,2024-05-28,2024-05-28,50.2
1974-04-01,2024-05-28,2024-05-28,50.7
1974-05-01,2024-05-28,2024-05-28,51.3
1974-06-01,2024-05-28,2024-05-28,51.3
1974-07-01,2024-05-28,2024-05-28,52.7
1974-08-01,2024-05-28,2024-05-28,53.7
1974-09-01,2024-05-28,2024-05-28,54.3
1974-10-01,2024-05-28,2024-05-28,55.3
1974-11-01,2024-05-28,2024-05-28,56.4
1974-12-01,2024-05-28,2024-05-28,56.4
1975-01-01,2024-05-28,2024-05-28,56.7
1975-02-01,2024-05-28,2024-05-28,56.6
1975-03-01,2024-05-28,2024-05-28,56.6
1975-04-01,2024-05-28,2024-05-28,57.1
1975-05-01,2024-05-28,2024-05-28,57.4
1975-06-01,2024-05-28,2024-05-28,57.9
1975-07-01,2024-05-28,2024-05-28,58.4
1975-08-01,2024-05-28,2024-05-28,58.9
1975-09-01,2024-05-28,2024-05-28,59.3
1975-10-01,2024-05-28,2024-05-28,59.8
1975-11-01,2024-05-28,2024-05-28,60.0
1975-12-01,2024-05-28,2024-05-28,60.1
1976-01-01,2024-05-28,2024-05-28,60.0
1976-02-01,2024-05-28,2024-05-28,59.9
1976-03-01,2024-05-28,2024-05-28,60.0
1976-04-01,2024-05-28,2024-05-28,60.3
1976-05-01,2024-05-28,2024-05-28,60.4
1976-06-01,2024-05-28,2024-05-28,60.5
1976-07-01,2024-05-28,2024-05-28,60.7
1976-08-01,2024-05-28,2024-05-28,60.9
1976-09-01,2024-05-28,2024-05-28,61.1
1976-10-01,2024-05-28,2024-05-28,61.4
1976-11-01,2024-05-28,2024-05-28,61.9
1976-12-01,2024-05-28,2024-05-28,62.4
1977-01-01,2024-05-28,2024-05-28,62.5
1977-02-01,2024-05-28,2024-05-28,63.2
1977-03-01,2024-05-28,2024-05-28,63.7
1977-04-01,2024-05-28,2024-05-28,64.0
1977-05-01,2024-05-28,2024-05-28,64.4
1977-06-01,2024-05-28,2024-05-28,64.6
1977-07-01,2024-05-28,2024-05-28,64.8
1977-08-01,2024-05-28,2024-05-28,65.2
1977-09-01,2024-05-28,2024-05-28,65.5
1977-10-01,2024-05-28,2024-05-28,65.9
1977-11-01,2024-05-28,2024-05-28,66.4
1977-12-01,2024-05-28,2024-05-28,66.7
1978-01-01,2024-05-28,2024-05-28,67.0
1978-02-01,2024-05-28,2024-05-28,67.5
1978-03-01,2024-05-28,2024-05-28,67.8
1978-04-01,2024-05-28,2024-05-28,68.6
1978-05-01,2024-05-28,2024-05-28,69.1
1978-06-01,2024-05-28,2024-05-28,69.7
1978-07-01,2024-05-28,2024-05-28,70.3
1978-08-01,2024-05-28,2024-05-28,70.4
1978-09-01,2024-05-28,2024-05-28,71.1
1978-10-01,2024-05-28,2024-05-28,71.4
1978-11-01,2024-05-28,2024-05-28,72.0
1978-12-01,2024-05-28,2024-05-28,72.8
1979-01-01,2024-05-28,2024-05-28,73.7
1979-02-01,2024-05-28,2024-05-28,74.4
1979-03-01,2024-05-28,2024-05-28,75.0
1979-04-01,2024-05-28,2024-05-28,75.8
1979-05-01,2024-05-28,2024-05-28,76.2
1979-06-01,2024-05-28,2024-05-28,76.6
1979-07-01,2024-05-28,2024-05-28,77.4
1979-08-01,2024-05-28,2024-05-28,78.2
1979-09-01,2024-05-28,2024-05-28,79.5
1979-10-01,2024-05-28,2024-05-28,80.4
1979-11-01,2024-05-28,2024-05-28,81.4
1979-12-01,2024-05-28,2024-05-28,82.2
1980-01-01,2024-05-28,2024-05-28,83.4
1980-02-01,2024-05-28,2024-05-28,84.6
1980-03-01,2024-05-28,2024-05-28,85.5
1980-04-01,2024-05-28,2024-05-28,86.2
1980-05-01,2024-05-28,2024-05-28,86.6
1980-06-01,2024-05-28,2024-05-28,87.3
1980-07-01,2024-05-28,2024-05-28,88.7
1980-08-01,2024-05-28,2024-05-28,89.7
1980-09-01,2024-05-28,2024-05-28,90.1
1980-10-01,2024-05-28,2024-05-28,90.8
1980-11-01,2024-05-28,2024-05-28,91.4
1980-12-01,2024-05-28,2024-05-28,91.8
1981-01-01,2024-05-28,2024-05-28,92.8
1981-02-01,2024-05-28,2024-05-28,93.6
1981-03-01,2024-05-28,2024-05-28,94.7
1981-04-01,2024-05-28,2024-05-28,95.7
1981-05-01,2024-05-28,2024-05-28,96.0
1981-06-01,2024-05-28,2024-05-28,96.5
1981-07-01,2024-05-28,2024-05-28,96.7
1981-08-01,2024-05-28,2024-05-28,96.8
1981-09-01,2024-05-28,2024-05-28,97.2
1981-10-01,2024-05-28,2024-05-28,97.6
1981-11-01,2024-05-28,2024-05-28,97.9
1981-12-01,2024-05-28,2024-05-28,98.3
1982-01-01,2024-05-28,2024-05-28,98.9
1982-02-01,2024-05-28,2024-05-28,98.8
1982-03-01,2024-05-28,2024-05-28,98.8
1982-04-01,2024-05-28,2024-05-28,99.0
1982-05-01,2024-05-28,2024-05-28,99.0
1982-06-01,2024-05-28,2024-05-28,99.8
1982-07-01,2024-05-28,2024-05-28,100.2
1982-08-01,2024-05-28,2024-05-28,100.6
1982-09-01,2024-05-28,2024-05-28,100.7
1982-10-01,2024-05-28,2024-05-28,101.0
1982-11-01,2024-05-28,2024-05-28,101.4
1982-12-01,2024-05-28,2024-05-28,101.8
1983-01-01,2024-05-28,2024-05-28,101.0
1983-02-01,2024-05-28,2024-05-28,101.1
1983-03-01,2024-05-28,2024-05-28,101.0
1983-04-01,2024-05-28,2024-05-28,101.1
1983-05-01,2024-05-28,2024-05-28,101.4
1983-06-01,2024-05-28,2024-05-28,101.6
1983-07-01,2024-05-28,2024-05-28,101.6
1983-08-01,2024-05-28,2024-05-28,101.9
1983-09-01,2024-05-28,2024-05-28,102.2
1983-10-01,2024-05-28,2024-05-28,102.2
1983-11-01,2024-05-28,2024-05-28,102.0
1983-12-01,2024-05-28,2024-05-28,102.3
1984-01-01,2024-05-28,2024-05-28,103.0
1984-02-01,2024-05-28,2024-05-28,103.4
1984-03-01,2024-05-28,2024-05-28,103.8
1984-04-01,2024-05-28,2024-05-28,103.9
1984-05-01,2024-05-28,2024-05-28,103.8
1984-06-01,2024-05-28,2024-05-28,103.8
1984-07-01,2024-05-28,2024-05-28,104.0
1984-08-01,2024-05-28,2024-05-28,103.8
1984-09-01,2024-05-28,2024-05-28,103.8
1984-10-01,2024-05-28,2024-05-28,103.6
1984-11-01,2024-05-28,2024-05-28,104.0
1984-12-01,2024-05-28,2024-05-28,104.0
1985-01-01,2024-05-28,2024-05-28,104.0
1985-02-01,2024-05-28,2024-05-28,104.1
1985-03-01,2024-05-28,2024-05-28,104.1
1985-04-01,2024-05-28,2024-05-28,104.6
1985-05-01,2024-05-28,2024-05-28,104.9
1985-06-01,2024-05-28,2024-05-28,104.6
1985-07-01,2024-05-28,2024-05-28,104.7
1985-08-01,2024-05-28,2024-05-28,104.5
1985-09-01,2024-05-28,2024-05-28,103.8
1985-10-01,2024-05-28,2024-05-28,104.9
1985-11-01,2024-05-28,2024-05-28,105.5
1985-12-01,2024-05-28,2024-05-28,106.0
1986-01-01,2024-05-28,2024-05-28,105.5
1986-02-01,2024-05-28,2024-05-28,104.1
1986-03-01,2024-05-28,2024-05-28,102.8
1986-04-01,2024-05-28,2024-05-28,102.3
1986-05-01,2024-05-28,2024-05-28,102.8
1986-06-01,2024-05-28,2024-05-28,103.1
1986-07-01,2024-05-28,2024-05-28,102.3
1986-08-01,2024-05-28,2024-05-28,102.7
1986-09-01,2024-05-28,2024-05-28,102.9
1986-10-01,2024-05-28,2024-05-28,103.5
1986-11-01,2024-05-28,2024-05-28,103.4
1986-12-01,2024-05-28,2024-05-28,103.6
1987-01-01,2024-05-28,2024-05-28,104.1
1987-02-01,2024-05-28,2024-05-28,104.4
1987-03-01,2024-05-28,2024-05-28,104.5
1987-04-01,2024-05-28,2024-05-28,105.1
1987-05-01,2024-05-28,2024-05-28,105.2
1987-06-01,2024-05-28,2024-05-28,105.5
1987-07-01,2024-05-28,2024-05-28,105.7
1987-08-01,2024-05-28,2024-05-28,105.9
1987-09-01,2024-05-28,2024-05-28,106.2
1987-10-01,2024-05-28,2024-05-28,106.0
1987-11-01,2024-05-28,2024-05-28,106.0
1987-12-01,2024-05-28,2024-05-28,105.8
1988-01-01,2024-05-28,2024-05-28,106.4
1988-02-01,2024-05-28,2024-05-28,106.3
1988-03-01,2024-05-28,2024-05-28,106.6
1988-04-01,2024-05-28,2024-05-28,107.0
1988-05-01,2024-05-28,2024-05-28,107.2
1988-06-01,2024-05-28,2024-05-28,107.5
1988-07-01,2024-05-28,2024-05-28,108.4
1988-08-01,2024-05-28,2024-05-28,108.8
1988-09-01,2024-05-28,2024-05-28,109.0
1988-10-01,2024-05-28,2024-05-28,109.2
1988-11-01,2024-05-28,2024-05-28,109.6
1988-12-01,2024-05-28,2024-05-28,110.0
1989-01-01,2024-05-28,2024-05-28,111.1
1989-02-01,2024-05-28,2024-05-28,111.9
1989-03-01,2024-05-28,2024-05-28,112.3
1989-04-01,2024-05-28,2024-05-28,113.1
1989-05-01,2024-05-28,2024-05-28,114.0
1989-06-01,2024-05-28,2024-05-28,114.0
1989-07-01,2024-05-28,2024-05-28,113.8
1989-08-01,2024-05-28,2024-05-28,113.4
1989-09-01,2024-05-28,2024-05-28,114.0
1989-10-01,2024-05-28,2024-05-28,114.6
1989-11-01,2024-05-28,2024-05-28,114.8
1989-12-01,2024-05-28,2024-05-28,115.5
1990-01-01,2024-05-28,2024-05-28,117.7
1990-02-01,2024-05-28,2024-05-28,117.6
1990-03-01,2024-05-28,2024-05-28,117.5
1990-04-01,2024-05-28,2024-05-28,117.4
1990-05-01,2024-05-28,2024-05-28,117.5
1990-06-01,2024-05-28,2024-05-28,117.6
1990-07-01,2024-05-28,2024-05-28,117.9
1990-08-01,2024-05-28,2024-05-28,119.2
1990-09-01,2024-05-28,2024-05-28,120.7
1990-10-01,2024-05-28,2024-05-28,121.9
1990-11-01,2024-05-28,2024-05-28,122.6
1990-12-01,2024-05-28,2024-05-28,122.0
1991-01-01,2024-05-28,2024-05-28,122.6
1991-02-01,2024-05-28,2024-05-28,121.8
1991-03-01,2024-05-28,2024-05-28,121.3
1991-04-01,2024-05-28,2024-05-28,121.3
1991-05-01,2024-05-28,2024-05-28,121.6
1991-06-01,2024-05-28,2024-05-28,121.4
1991-07-01,2024-05-28,2024-05-28,121.1
1991-08-01,2024-05-28,2024-05-28,121.3
