date,realtime_start_gdp,realtime_end_gdp,value_gdp,realtime_start_m2,realtime_end_m2,value_m2,velocity
1959-01-01,2024-05-30,2024-05-30,510.33,2024-05-28,2024-05-28,286.6,1.7806350314026516
1959-04-01,2024-05-30,2024-05-30,522.653,2024-05-28,2024-05-28,290.1,1.801630472250948
1959-07-01,2024-05-30,2024-05-30,525.034,2024-05-28,2024-05-28,295.2,1.7785704607046071
1959-10-01,2024-05-30,2024-05-30,528.6,2024-05-28,2024-05-28,296.5,1.7827993254637438
1960-01-01,2024-05-30,2024-05-30,542.648,2024-05-28,2024-05-28,298.2,1.8197451374916165
1960-04-01,2024-05-30,2024-05-30,541.08,2024-05-28,2024-05-28,300.1,1.8029990003332224
1960-07-01,2024-05-30,2024-05-30,545.604,2024-05-28,2024-05-28,304.1,1.7941598158500494
1960-10-01,2024-05-30,2024-05-30,540.197,2024-05-28,2024-05-28,309.5,1.7453861066235865
1961-01-01,2024-05-30,2024-05-30,545.018,2024-05-28,2024-05-28,314.1,1.735173511620503
1961-04-01,2024-05-30,2024-05-30,555.545,2024-05-28,2024-05-28,319.9,1.7366208190059393
1961-07-01,2024-05-30,2024-05-30,567.664,2024-05-28,2024-05-28,325.6,1.7434398034398033
1961-10-01,2024-05-30,2024-05-30,580.612,2024-05-28,2024-05-28,331.1,1.753585019631531
1962-01-01,2024-05-30,2024-05-30,594.013,2024-05-28,2024-05-28,337.5,1.7600385185185186
1962-04-01,2024-05-30,2024-05-30,600.366,2024-05-28,2024-05-28,345.5,1.7376729377713458
1962-07-01,2024-05-30,2024-05-30,609.027,2024-05-28,2024-05-28,350.8,1.7361088939566705
1962-10-01,2024-05-30,2024-05-30,612.28,2024-05-28,2024-05-28,357.2,1.7141097424412093
1963-01-01,2024-05-30,2024-05-30,621.672,2024-05-28,2024-05-28,365.2,1.702278203723987
1963-04-01,2024-05-30,2024-05-30,629.752,2024-05-28,2024-05-28,373.3,1.6869863380658985
1963-07-01,2024-05-30,2024-05-30,644.444,2024-05-28,2024-05-28,381.1,1.6910102335345052
1963-10-01,2024-05-30,2024-05-30,653.938,2024-05-28,2024-05-28,388.3,1.684105073396858
1964-01-01,2024-05-30,2024-05-30,669.822,2024-05-28,2024-05-28,395.2,1.6948937246963562
1964-04-01,2024-05-30,2024-05-30,678.674,2024-05-28,2024-05-28,401.7,1.6895046054269356
1964-07-01,2024-05-30,2024-05-30,692.031,2024-05-28,2024-05-28,410.1,1.6874689100219455
1964-10-01,2024-05-30,2024-05-30,697.319,2024-05-28,2024-05-28,419.1,1.6638487234550225
1965-01-01,2024-05-30,2024-05-30,717.79,2024-05-28,2024-05-28,427.5,1.6790409356725144
1965-04-01,2024-05-30,2024-05-30,730.191,2024-05-28,2024-05-28,435.4,1.677057877813505
1965-07-01,2024-05-30,2024-05-30,749.323,2024-05-28,2024-05-28,442.9,1.6918559494242493
1965-10-01,2024-05-30,2024-05-30,771.857,2024-05-28,2024-05-28,452.6,1.7053844454264249
1966-01-01,2024-05-30,2024-05-30,795.734,2024-05-28,2024-05-28,462.0,1.7223679653679655
1966-04-01,2024-05-30,2024-05-30,804.981,2024-05-28,2024-05-28,469.3,1.7152802045599829
1966-07-01,2024-05-30,2024-05-30,819.638,2024-05-28,2024-05-28,470.9,1.7405776173285201
1966-10-01,2024-05-30,2024-05-30,833.302,2024-05-28,2024-05-28,475.7,1.7517384906453648
1967-01-01,2024-05-30,2024-05-30,844.17,2024-05-28,2024-05-28,481.6,1.752844684385382
1967-04-01,2024-05-30,2024-05-30,848.983,2024-05-28,2024-05-28,492.1,1.7252245478561266
1967-07-01,2024-05-30,2024-05-30,865.233,2024-05-28,2024-05-28,506.3,1.7089334386727235
1967-10-01,2024-05-30,2024-05-30,881.439,2024-05-28,2024-05-28,518.2,1.7009629486684676
1968-01-01,2024-05-30,2024-05-30,909.387,2024-05-28,2024-05-28,527.4,1.7242832764505118
1968-04-01,2024-05-30,2024-05-30,934.344,2024-05-28,2024-05-28,535.7,1.7441553108082881
1968-07-01,2024-05-30,2024-05-30,950.825,2024-05-28,2024-05-28,545.6,1.7427144428152492
1968-10-01,2024-05-30,2024-05-30,968.03,2024-05-28,2024-05-28,557.6,1.7360652797704446
1969-01-01,2024-05-30,2024-05-30,993.337,2024-05-28,2024-05-28,569.3,1.7448392763042333
1969-04-01,2024-05-30,2024-05-30,1009.02,2024-05-28,2024-05-28,575.7,1.7526836894215736
1969-07-01,2024-05-30,2024-05-30,1029.956,2024-05-28,2024-05-28,579.5,1.777318377911993
1969-10-01,2024-05-30,2024-05-30,1038.147,2024-05-28,2024-05-28,583.4,1.7794772026054164
1970-01-01,2024-05-30,2024-05-30,1051.2,2024-05-28,2024-05-28,589.6,1.7829036635006785
1970-04-01,2024-05-30,2024-05-30,1067.375,2024-05-28,2024-05-28,588.4,1.8140295717199184
1970-07-01,2024-05-30,2024-05-30,1086.059,2024-05-28,2024-05-28,599.1,1.8128175596728424
1970-10-01,2024-05-30,2024-05-30,1088.608,2024-05-28,2024-05-28,616.4,1.766073977936405
1971-01-01,2024-05-30,2024-05-30,1135.156,2024-05-28,2024-05-28,632.9,1.7935787644177594
1971-04-01,2024-05-30,2024-05-30,1156.271,2024-05-28,2024-05-28,658.4,1.756183171324423
1971-07-01,2024-05-30,2024-05-30,1177.675,2024-05-28,2024-05-28,679.6,1.7328943496174218
1971-10-01,2024-05-30,2024-05-30,1190.297,2024-05-28,2024-05-28,698.4,1.7043198739977092
1972-01-01,2024-05-30,2024-05-30,1230.609,2024-05-28,2024-05-28,717.7,1.714656541730528
1972-04-01,2024-05-30,2024-05-30,1266.369,2024-05-28,2024-05-28,738.4,1.7150176056338027
1972-07-01,2024-05-30,2024-05-30,1290.566,2024-05-28,2024-05-28,759.5,1.6992310730743911
1972-10-01,2024-05-30,2024-05-30,1328.904,2024-05-28,2024-05-28,786.9,1.6887838353030882
1973-01-01,2024-05-30,2024-05-30,1377.49,2024-05-28,2024-05-28,810.3,1.699975317783537
1973-04-01,2024-05-30,2024-05-30,1413.887,2024-05-28,2024-05-28,819.7,1.7248834939612052
1973-07-01,2024-05-30,2024-05-30,1433.838,2024-05-28,2024-05-28,836.5,1.714092050209205
1973-10-01,2024-05-30,2024-05-30,1476.289,2024-05-28,2024-05-28,842.6,1.7520638499881318
1974-01-01,2024-05-30,2024-05-30,1491.209,2024-05-28,2024-05-28,859.7,1.7345690357101313
1974-04-01,2024-05-30,2024-05-30,1530.056,2024-05-28,2024-05-28,872.9,1.7528422499713598
1974-07-01,2024-05-30,2024-05-30,1560.026,2024-05-28,2024-05-28,881.4,1.7699410029498526
1974-10-01,2024-05-30,2024-05-30,1599.679,2024-05-28,2024-05-28,893.3,1.79075226687563
1975-01-01,2024-05-30,2024-05-30,1616.116,2024-05-28,2024-05-28,906.3,1.7832020302328149
1975-04-01,2024-05-30,2024-05-30,1651.853,2024-05-28,2024-05-28,935.1,1.766498770185007
1975-07-01,2024-05-30,2024-05-30,1709.82,2024-05-28,2024-05-28,975.1,1.7534816941852116
1975-10-01,2024-05-30,2024-05-30,1761.831,2024-05-28,2024-05-28,997.8,1.7657155742633794
1976-01-01,2024-05-30,2024-05-30,1820.487,2024-05-28,2024-05-28,1026.6,1.773316773816482
1976-04-01,2024-05-30,2024-05-30,1852.332,2024-05-28,2024-05-28,1060.8,1.746165158371041
1976-07-01,2024-05-30,2024-05-30,1886.558,2024-05-28,2024-05-28,1086.3,1.736682316118936
1976-10-01,2024-05-30,2024-05-30,1934.273,2024-05-28,2024-05-28,1125.0,1.7193537777777776
1977-01-01,2024-05-30,2024-05-30,1988.648,2024-05-28,2024-05-28,1165.2,1.7067009955372467
1977-04-01,2024-05-30,2024-05-30,2055.909,2024-05-28,2024-05-28,1199.6,1.7138287762587532
1977-07-01,2024-05-30,2024-05-30,2118.473,2024-05-28,2024-05-28,1226.7,1.726969104100432
1977-10-01,2024-05-30,2024-05-30,2164.27,2024-05-28,2024-05-28,1254.0,1.7258931419457735
1978-01-01,2024-05-30,2024-05-30,2202.76,2024-05-28,2024-05-28,1279.7,1.7213096819567086
1978-04-01,2024-05-30,2024-05-30,2331.633,2024-05-28,2024-05-28,1300.4,1.793012150107659
1978-07-01,2024-05-30,2024-05-30,2395.053,2024-05-28,2024-05-28,1324.1,1.8088157994109206
1978-10-01,2024-05-30,2024-05-30,2476.949,2024-05-28,2024-05-28,1352.3,1.831656437181099
1979-01-01,2024-05-30,2024-05-30,2526.61,2024-05-28,2024-05-28,1371.6,1.8420895304753575
1979-04-01,2024-05-30,2024-05-30,2591.247,2024-05-28,2024-05-28,1402.1,1.848118536480993
1979-07-01,2024-05-30,2024-05-30,2667.565,2024-05-28,2024-05-28,1434.8,1.859189434067466
1979-10-01,2024-05-30,2024-05-30,2723.883,2024-05-28,2024-05-28,1460.4,1.8651622843056694
1980-01-01,2024-05-30,2024-05-30,2789.842,2024-05-28,2024-05-28,1482.7,1.8815957375059014
1980-04-01,2024-05-30,2024-05-30,2797.352,2024-05-28,2024-05-28,1502.2,1.8621701504460124
1980-07-01,2024-05-30,2024-05-30,2856.483,2024-05-28,2024-05-28,1545.5,1.848258168877386
1980-10-01,2024-05-30,2024-05-30,2985.557,2024-05-28,2024-05-28,1584.8,1.8838698889449772
1981-01-01,2024-05-30,2024-05-30,3124.206,2024-05-28,2024-05-28,1606.9,1.944244196900865
1981-04-01,2024-05-30,2024-05-30,3162.532,2024-05-28,2024-05-28,1659.2,1.9060583413693346
