date,realtime_start,realtime_end,value
1991-01-01,2024-05-28,2024-05-28,100.0
1991-02-01,2024-05-28,2024-05-28,100.45
1991-03-01,2024-05-28,2024-05-28,100.48
1991-04-01,2024-05-28,2024-05-28,100.33
1991-05-01,2024-05-28,2024-05-28,100.38
1991-06-01,2024-05-28,2024-05-28,100.51
1991-07-01,2024-05-28,2024-05-28,100.54
1991-08-01,2024-05-28,2024-05-28,100.38
1991-09-01,2024-05-28,2024-05-28,100.61
1991-10-01,2024-05-28,2024-05-28,100.92
1991-11-01,2024-05-28,2024-05-28,101.42
1991-12-01,2024-05-28,2024-05-28,101.89
1992-01-01,2024-05-28,2024-05-28,102.23
1992-02-01,2024-05-28,2024-05-28,102.97
1992-03-01,2024-05-28,2024-05-28,102.81
1992-04-01,2024-05-28,2024-05-28,102.56
1992-05-01,2024-05-28,2024-05-28,102.59
1992-06-01,2024-05-28,2024-05-28,102.51
1992-07-01,2024-05-28,2024-05-28,102.86
1992-08-01,2024-05-28,2024-05-28,103.32
1992-09-01,2024-05-28,2024-05-28,103.71
1992-10-01,2024-05-28,2024-05-28,104.04
1992-11-01,2024-05-28,2024-05-28,104.28
1992-12-01,2024-05-28,2024-05-28,104.22
1993-01-01,2024-05-28,2024-05-28,104.26
1993-02-01,2024-05-28,2024-05-28,104.07
1993-03-01,2024-05-28,2024-05-28,104.38
1993-04-01,2024-05-28,2024-05-28,105.02
1993-05-01,2024-05-28,2024-05-28,105.25
1993-06-01,2024-05-28,2024-05-28,105.61
1993-07-01,2024-05-28,2024-05-28,105.67
1993-08-01,2024-05-28,2024-05-28,106.06
1993-09-01,2024-05-28,2024-05-28,106.45
1993-10-01,2024-05-28,2024-05-28,106.66
1993-11-01,2024-05-28,2024-05-28,107.0
1993-12-01,2024-05-28,2024-05-28,107.52
1994-01-01,2024-05-28,2024-05-28,107.77
1994-02-01,2024-05-28,2024-05-28,108.01
1994-03-01,2024-05-28,2024-05-28,108.37
1994-04-01,2024-05-28,2024-05-28,108.69
1994-05-01,2024-05-28,2024-05-28,109.04
1994-06-01,2024-05-28,2024-05-28,109.23
1994-07-01,2024-05-28,2024-05-28,109.35
1994-08-01,2024-05-28,2024-05-28,109.62
1994-09-01,2024-05-28,2024-05-28,109.7
1994-10-01,2024-05-28,2024-05-28,109.97
1994-11-01,2024-05-28,2024-05-28,110.2
1994-12-01,2024-05-28,2024-05-28,110.2
1995-01-01,2024-05-28,2024-05-28,110.51
1995-02-01,2024-05-28,2024-05-28,111.11
1995-03-01,2024-05-28,2024-05-28,110.94
1995-04-01,2024-05-28,2024-05-28,111.21
