date,realtime_start,realtime_end,value
1959-01-01,2024-05-28,2024-05-28,286.6
1959-02-01,2024-05-28,2024-05-28,287.7
1959-03-01,2024-05-28,2024-05-28,289.2
1959-04-01,2024-05-28,2024-05-28,290.1
1959-05-01,2024-05-28,2024-05-28,292.2
1959-06-01,2024-05-28,2024-05-28,294.1
1959-07-01,2024-05-28,2024-05-28,295.2
1959-08-01,2024-05-28,2024-05-28,296.4
1959-09-01,2024-05-28,2024-05-28,296.7
1959-10-01,2024-05-28,2024-05-28,296.5
1959-11-01,2024-05-28,2024-05-28,297.1
1959-12-01,2024-05-28,2024-05-28,297.8
1960-01-01,2024-05-28,2024-05-28,298.2
1960-02-01,2024-05-28,2024-05-28,298.4
1960-03-01,2024-05-28,2024-05-28,299.3
1960-04-01,2024-05-28,2024-05-28,300.1
1960-05-01,2024-05-28,2024-05-28,300.9
1960-06-01,2024-05-28,2024-05-28,302.3
1960-07-01,2024-05-28,2024-05-28,304.1
1960-08-01,2024-05-28,2024-05-28,306.9
1960-09-01,2024-05-28,2024-05-28,308.4
1960-10-01,2024-05-28,2024-05-28,309.5
1960-11-01,2024-05-28,2024-05-28,310.9
1960-12-01,2024-05-28,2024-05-28,312.4
1961-01-01,2024-05-28,2024-05-28,314.1
1961-02-01,2024-05-28,2024-05-28,316.5
1961-03-01,2024-05-28,2024-05-28,318.3
1961-04-01,2024-05-28,2024-05-28,319.9
1961-05-01,2024-05-28,2024-05-28,322.2
1961-06-01,2024-05-28,2024-05-28,324.3
1961-07-01,2024-05-28,2024-05-28,325.6
1961-08-01,2024-05-28,2024-05-28,327.6
1961-09-01,2024-05-28,2024-05-28,329.5
1961-10-01,2024-05-28,2024-05-28,331.1
1961-11-01,2024-05-28,2024-05-28,333.4
1961-12-01,2024-05-28,2024-05-28,335.5
1962-01-01,2024-05-28,2024-05-28,337.5
1962-02-01,2024-05-28,2024-05-28,340.1
1962-03-01,2024-05-28,2024-05-28,343.1
1962-04-01,2024-05-28,2024-05-28,345.5
1962-05-01,2024-05-28,2024-05-28,347.5
1962-06-01,2024-05-28,2024-05-28,349.3
1962-07-01,2024-05-28,2024-05-28,350.8
1962-08-01,2024-05-28,2024-05-28,352.8
1962-09-01,2024-05-28,2024-05-28,354.9
