date,realtime_start,realtime_end,value
1947-01-01,2024-05-30,2024-05-30,2182.681
1947-04-01,2024-05-30,2024-05-30,2176.892
1947-07-01,2024-05-30,2024-05-30,2172.432
1947-10-01,2024-05-30,2024-05-30,2206.452
1948-01-01,2024-05-30,2024-05-30,2239.682
1948-04-01,2024-05-30,2024-05-30,2276.69
1948-07-01,2024-05-30,2024-05-30,2289.77
1948-10-01,2024-05-30,2024-05-30,2292.364
1949-01-01,2024-05-30,2024-05-30,2260.807
1949-04-01,2024-05-30,2024-05-30,2253.128
1949-07-01,2024-05-30,2024-05-30,2276.424
1949-10-01,2024-05-30,2024-05-30,2257.352
1950-01-01,2024-05-30,2024-05-30,2346.104
1950-04-01,2024-05-30,2024-05-30,2417.682
1950-07-01,2024-05-30,2024-05-30,2511.127
1950-10-01,2024-05-30,2024-05-30,2559.214
1951-01-01,2024-05-30,2024-05-30,2593.967
1951-04-01,2024-05-30,2024-05-30,2638.898
1951-07-01,2024-05-30,2024-05-30,2693.259
1951-10-01,2024-05-30,2024-05-30,2699.156
1952-01-01,2024-05-30,2024-05-30,2727.954
1952-04-01,2024-05-30,2024-05-30,2733.8
1952-07-01,2024-05-30,2024-05-30,2753.517
1952-10-01,2024-05-30,2024-05-30,2843.941
1953-01-01,2024-05-30,2024-05-30,2896.811
1953-04-01,2024-05-30,2024-05-30,2919.206
1953-07-01,2024-05-30,2024-05-30,2902.785
1953-10-01,2024-05-30,2024-05-30,2858.845
1954-01-01,2024-05-30,2024-05-30,2845.192
1954-04-01,2024-05-30,2024-05-30,2848.305
1954-07-01,2024-05-30,2024-05-30,2880.482
1954-10-01,2024-05-30,2024-05-30,2936.852
1955-01-01,2024-05-30,2024-05-30,3020.746
1955-04-01,2024-05-30,2024-05-30,3069.91
1955-07-01,2024-05-30,2024-05-30,3111.379
1955-10-01,2024-05-30,2024-05-30,3130.068
1956-01-01,2024-05-30,2024-05-30,3117.922
1956-04-01,2024-05-30,2024-05-30,3143.694
1956-07-01,2024-05-30,2024-05-30,3140.874
1956-10-01,2024-05-30,2024-05-30,3192.57
1957-01-01,2024-05-30,2024-05-30,3213.011
1957-04-01,2024-05-30,2024-05-30,3205.97
1957-07-01,2024-05-30,2024-05-30,3237.386
1957-10-01,2024-05-30,2024-05-30,3203.894
1958-01-01,2024-05-30,2024-05-30,3120.724
1958-04-01,2024-05-30,2024-05-30,3141.224
1958-07-01,2024-05-30,2024-05-30,3213.884
1958-10-01,2024-05-30,2024-05-30,3289.032
1959-01-01,2024-05-30,2024-05-30,3352.129
1959-04-01,2024-05-30,2024-05-30,3427.667
1959-07-01,2024-05-30,2024-05-30,3430.057
1959-10-01,2024-05-30,2024-05-30,3439.832
1960-01-01,2024-05-30,2024-05-30,3517.181
1960-04-01,2024-05-30,2024-05-30,3498.246
1960-07-01,2024-05-30,2024-05-30,3515.385
1960-10-01,2024-05-30,2024-05-30,3470.278
1961-01-01,2024-05-30,2024-05-30,3493.703
1961-04-01,2024-05-30,2024-05-30,3553.021
1961-07-01,2024-05-30,2024-05-30,3621.252
1961-10-01,2024-05-30,2024-05-30,3692.289
1962-01-01,2024-05-30,2024-05-30,3758.147
1962-04-01,2024-05-30,2024-05-30,3792.149
1962-07-01,2024-05-30,2024-05-30,3838.776
1962-10-01,2024-05-30,2024-05-30,3851.421
1963-01-01,2024-05-30,2024-05-30,3893.482
1963-04-01,2024-05-30,2024-05-30,3937.183
1963-07-01,2024-05-30,2024-05-30,4023.755
1963-10-01,2024-05-30,2024-05-30,4050.147
1964-01-01,2024-05-30,2024-05-30,4135.553
1964-04-01,2024-05-30,2024-05-30,4180.592
1964-07-01,2024-05-30,2024-05-30,4245.918
1964-10-01,2024-05-30,2024-05-30,4259.046
1965-01-01,2024-05-30,2024-05-30,4362.111
1965-04-01,2024-05-30,2024-05-30,4417.225
1965-07-01,2024-05-30,2024-05-30,4515.427
1965-10-01,2024-05-30,2024-05-30,4619.458
1966-01-01,2024-05-30,2024-05-30,4731.888
1966-04-01,2024-05-30,2024-05-30,4748.046
1966-07-01,2024-05-30,2024-05-30,4788.254
1966-10-01,2024-05-30,2024-05-30,4827.537
1967-01-01,2024-05-30,2024-05-30,4870.299
1967-04-01,2024-05-30,2024-05-30,4873.287
1967-07-01,2024-05-30,2024-05-30,4919.392
1967-10-01,2024-05-30,2024-05-30,4956.477
1968-01-01,2024-05-30,2024-05-30,5057.553
1968-04-01,2024-05-30,2024-05-30,5142.033
1968-07-01,2024-05-30,2024-05-30,5181.859
1968-10-01,2024-05-30,2024-05-30,5202.212
1969-01-01,2024-05-30,2024-05-30,5283.597
1969-04-01,2024-05-30,2024-05-30,5299.625
1969-07-01,2024-05-30,2024-05-30,5334.6
1969-10-01,2024-05-30,2024-05-30,5308.556
1970-01-01,2024-05-30,2024-05-30,5300.652
