date,realtime_start,realtime_end,value
1947-01-01,2024-05-30,2024-05-30,11.141
1947-04-01,2024-05-30,2024-05-30,11.299
1947-07-01,2024-05-30,2024-05-30,11.489
1947-10-01,2024-05-30,2024-05-30,11.772
1948-01-01,2024-05-30,2024-05-30,11.865
1948-04-01,2024-05-30,2024-05-30,11.972
1948-07-01,2024-05-30,2024-05-30,12.193
1948-10-01,2024-05-30,2024-05-30,12.23
1949-01-01,2024-05-30,2024-05-30,12.165
1949-04-01,2024-05-30,2024-05-30,12.043
1949-07-01,2024-05-30,2024-05-30,11.988
1949-10-01,2024-05-30,2024-05-30,11.989
1950-01-01,2024-05-30,2024-05-30,11.97
1950-04-01,2024-05-30,2024-05-30,12.011
1950-07-01,2024-05-30,2024-05-30,12.272
1950-10-01,2024-05-30,2024-05-30,12.502
1951-01-01,2024-05-30,2024-05-30,12.953
1951-04-01,2024-05-30,2024-05-30,13.039
1951-07-01,2024-05-30,2024-05-30,13.047
1951-10-01,2024-05-30,2024-05-30,13.196
1952-01-01,2024-05-30,2024-05-30,13.19
1952-04-01,2024-05-30,2024-05-30,13.206
1952-07-01,2024-05-30,2024-05-30,13.354
1952-10-01,2024-05-30,2024-05-30,13.39
1953-01-01,2024-05-30,2024-05-30,13.393
1953-04-01,2024-05-30,2024-05-30,13.42
1953-07-01,2024-05-30,2024-05-30,13.476
1953-10-01,2024-05-30,2024-05-30,13.501
1954-01-01,2024-05-30,2024-05-30,13.544
1954-04-01,2024-05-30,2024-05-30,13.556
1954-07-01,2024-05-30,2024-05-30,13.574
1954-10-01,2024-05-30,2024-05-30,13.611
1955-01-01,2024-05-30,2024-05-30,13.675
1955-04-01,2024-05-30,2024-05-30,13.731
1955-07-01,2024-05-30,2024-05-30,13.827
1955-10-01,2024-05-30,2024-05-30,13.964
1956-01-01,2024-05-30,2024-05-30,14.104
1956-04-01,2024-05-30,2024-05-30,14.187
1956-07-01,2024-05-30,2024-05-30,14.365
1956-10-01,2024-05-30,2024-05-30,14.423
1957-01-01,2024-05-30,2024-05-30,14.621
1957-04-01,2024-05-30,2024-05-30,14.723
1957-07-01,2024-05-30,2024-05-30,14.811
1957-10-01,2024-05-30,2024-05-30,14.821
1958-01-01,2024-05-30,2024-05-30,14.982
1958-04-01,2024-05-30,2024-05-30,15.025
1958-07-01,2024-05-30,2024-05-30,15.117
1958-10-01,2024-05-30,2024-05-30,15.189
1959-01-01,2024-05-30,2024-05-30,15.224
1959-04-01,2024-05-30,2024-05-30,15.248
1959-07-01,2024-05-30,2024-05-30,15.307
1959-10-01,2024-05-30,2024-05-30,15.367
1960-01-01,2024-05-30,2024-05-30,15.428
