date,realtime_start,realtime_end,value
1946-01-01,2024-05-30,2024-05-30,
1946-04-01,2024-05-30,2024-05-30,
1946-07-01,2024-05-30,2024-05-30,
1946-10-01,2024-05-30,2024-05-30,
1947-01-01,2024-05-30,2024-05-30,243.164
1947-04-01,2024-05-30,2024-05-30,245.968
1947-07-01,2024-05-30,2024-05-30,249.585
1947-10-01,2024-05-30,2024-05-30,259.745
1948-01-01,2024-05-30,2024-05-30,265.742
1948-04-01,2024-05-30,2024-05-30,272.567
1948-07-01,2024-05-30,2024-05-30,279.196
1948-10-01,2024-05-30,2024-05-30,280.366
1949-01-01,2024-05-30,2024-05-30,275.034
1949-04-01,2024-05-30,2024-05-30,271.351
1949-07-01,2024-05-30,2024-05-30,272.889
1949-10-01,2024-05-30,2024-05-30,270.627
1950-01-01,2024-05-30,2024-05-30,280.828
1950-04-01,2024-05-30,2024-05-30,290.383
1950-07-01,2024-05-30,2024-05-30,308.153
1950-10-01,2024-05-30,2024-05-30,319.945
1951-01-01,2024-05-30,2024-05-30,336.0
1951-04-01,2024-05-30,2024-05-30,344.09
1951-07-01,2024-05-30,2024-05-30,351.385
1951-10-01,2024-05-30,2024-05-30,356.178
1952-01-01,2024-05-30,2024-05-30,359.82
1952-04-01,2024-05-30,2024-05-30,361.03
1952-07-01,2024-05-30,2024-05-30,367.701
1952-10-01,2024-05-30,2024-05-30,380.812
1953-01-01,2024-05-30,2024-05-30,387.98
1953-04-01,2024-05-30,2024-05-30,391.749
1953-07-01,2024-05-30,2024-05-30,391.171
1953-10-01,2024-05-30,2024-05-30,385.97
1954-01-01,2024-05-30,2024-05-30,385.345
1954-04-01,2024-05-30,2024-05-30,386.121
1954-07-01,2024-05-30,2024-05-30,390.996
1954-10-01,2024-05-30,2024-05-30,399.734
1955-01-01,2024-05-30,2024-05-30,413.073
1955-04-01,2024-05-30,2024-05-30,421.532
1955-07-01,2024-05-30,2024-05-30,430.221
1955-10-01,2024-05-30,2024-05-30,437.092
1956-01-01,2024-05-30,2024-05-30,439.746
1956-04-01,2024-05-30,2024-05-30,446.01
1956-07-01,2024-05-30,2024-05-30,451.191
1956-10-01,2024-05-30,2024-05-30,460.463
1957-01-01,2024-05-30,2024-05-30,469.779
1957-04-01,2024-05-30,2024-05-30,472.025
1957-07-01,2024-05-30,2024-05-30,479.49
1957-10-01,2024-05-30,2024-05-30,474.864
1958-01-01,2024-05-30,2024-05-30,467.54
1958-04-01,2024-05-30,2024-05-30,471.978
1958-07-01,2024-05-30,2024-05-30,485.841
1958-10-01,2024-05-30,2024-05-30,499.555
1959-01-01,2024-05-30,2024-05-30,510.33
1959-04-01,2024-05-30,2024-05-30,522.653
1959-07-01,2024-05-30,2024-05-30,525.034
1959-10-01,2024-05-30,2024-05-30,528.6
1960-01-01,2024-05-30,2024-05-30,542.648
1960-04-01,2024-05-30,2024-05-30,541.08
1960-07-01,2024-05-30,2024-05-30,545.604
1960-10-01,2024-05-30,2024-05-30,540.197
1961-01-01,2024-05-30,2024-05-30,545.018
1961-04-01,2024-05-30,2024-05-30,555.545
1961-07-01,2024-05-30,2024-05-30,567.664
1961-10-01,2024-05-30,2024-05-30,580.612
1962-01-01,2024-05-30,2024-05-30,594.013
1962-04-01,2024-05-30,2024-05-30,600.366
1962-07-01,2024-05-30,2024-05-30,609.027
1962-10-01,2024-05-30,2024-05-30,612.28
1963-01-01,2024-05-30,2024-05-30,621.672
1963-04-01,2024-05-30,2024-05-30,629.752
1963-07-01,2024-05-30,2024-05-30,644.444
1963-10-01,2024-05-30,2024-05-30,653.938
1964-01-01,2024-05-30,2024-05-30,669.822
1964-04-01,2024-05-30,2024-05-30,678.674
1964-07-01,2024-05-30,2024-05-30,692.031
1964-10-01,2024-05-30,2024-05-30,697.319
1965-01-01,2024-05-30,2024-05-30,717.79
1965-04-01,2024-05-30,2024-05-30,730.191
1965-07-01,2024-05-30,2024-05-30,749.323
1965-10-01,2024-05-30,2024-05-30,771.857
1966-01-01,2024-05-30,2024-05-30,795.734
1966-04-01,2024-05-30,2024-05-30,804.981
1966-07-01,2024-05-30,2024-05-30,819.638
1966-10-01,2024-05-30,2024-05-30,833.302
1967-01-01,2024-05-30,2024-05-30,844.17
1967-04-01,2024-05-30,2024-05-30,848.983
